Critter AttackUp Lv. 1 (50 seconds), 0 hearts, 0% crit chance - Bladed Rhino Beetle
Food AttackUp Lv. 1 (50 seconds), 0 hearts, 0% crit chance - Mighty Thistle
Food AttackUp Lv. 2 (50 seconds), 1 hearts, 0% crit chance - Mighty Bananas
Food AttackUp Lv. 2 (50 seconds), 1 hearts, 0% crit chance - Razorshroom
Food AttackUp Lv. 2 (50 seconds), 2 hearts, 0% crit chance - Mighty Carp
Food AttackUp Lv. 2 (50 seconds), 2 hearts, 0% crit chance - Razorclaw Crab
Food AttackUp Lv. 3 (50 seconds), 2 hearts, 0% crit chance - Mighty Porgy
Food DefenseUp Lv. 1 (50 seconds), 0 hearts, 0% crit chance - Armoranth
Critter DefenseUp Lv. 1 (50 seconds), 0 hearts, 0% crit chance - Rugged Rhino Beetle
Food DefenseUp Lv. 2 (50 seconds), 1 hearts, 0% crit chance - Fortified Pumpkin
Food DefenseUp Lv. 2 (50 seconds), 1 hearts, 0% crit chance - Ironshroom
Food DefenseUp Lv. 2 (50 seconds), 2 hearts, 0% crit chance - Armored Carp
Food DefenseUp Lv. 2 (50 seconds), 2 hearts, 0% crit chance - Ironshell Crab
Food DefenseUp Lv. 3 (50 seconds), 2 hearts, 0% crit chance - Armored Porgy
Food ExGutsMaxUp Lv. 1 (0 seconds), 2 hearts, 0% crit chance - Endura Shroom
Critter ExGutsMaxUp Lv. 2 (0 seconds), 4 hearts, 0% crit chance - Tireless Frog
Food ExGutsMaxUp Lv. 4 (0 seconds), 4 hearts, 0% crit chance - Endura Carrot
Critter Fireproof Lv. 1 (150 seconds), 0 hearts, 0% crit chance - Fireproof Lizard
Critter Fireproof Lv. 2 (150 seconds), 0 hearts, 0% crit chance - Smotherwing Butterfly
Critter GutsRecover Lv. 1 (0 seconds), 0 hearts, 0% crit chance - Restless Cricket
Food GutsRecover Lv. 1 (0 seconds), 1 hearts, 0% crit chance - Stamella Shroom
Food GutsRecover Lv. 2 (0 seconds), 2 hearts, 0% crit chance - Bright-Eyed Crab
Food GutsRecover Lv. 2 (0 seconds), 4 hearts, 0% crit chance - Courser Bee Honey
Food GutsRecover Lv. 4 (0 seconds), 2 hearts, 0% crit chance - Staminoka Bass
Critter GutsRecover Lv. 6 (0 seconds), 0 hearts, 0% crit chance - Energetic Rhino Beetle
Food LifeMaxUp Lv. 1 (0 seconds), 4 hearts, 0% crit chance - Hearty Truffle
Food LifeMaxUp Lv. 2 (0 seconds), 4 hearts, 0% crit chance - Hearty Bass
Food LifeMaxUp Lv. 3 (0 seconds), 5 hearts, 0% crit chance - Hearty Radish
Food LifeMaxUp Lv. 3 (0 seconds), 6 hearts, 0% crit chance - Hearty Blueshell Snail
Food LifeMaxUp Lv. 4 (0 seconds), 6 hearts, 0% crit chance - Big Hearty Truffle
Food LifeMaxUp Lv. 4 (0 seconds), 6 hearts, 0% crit chance - Hearty Durian
Critter LifeMaxUp Lv. 4 (0 seconds), 8 hearts, 0% crit chance - Hearty Lizard
Food LifeMaxUp Lv. 4 (0 seconds), 8 hearts, 0% crit chance - Hearty Salmon
Food LifeMaxUp Lv. 5 (0 seconds), 8 hearts, 0% crit chance - Big Hearty Radish
Critter MovingSpeed Lv. 1 (60 seconds), 0 hearts, 0% crit chance - Hightail Lizard
Food MovingSpeed Lv. 1 (60 seconds), 1 hearts, 0% crit chance - Rushroom
Food MovingSpeed Lv. 1 (60 seconds), 1 hearts, 0% crit chance - Swift Carrot
Critter MovingSpeed Lv. 2 (60 seconds), 0 hearts, 0% crit chance - Hot-Footed Frog
Food MovingSpeed Lv. 2 (60 seconds), 0 hearts, 0% crit chance - Swift Violet
Food MovingSpeed Lv. 2 (60 seconds), 1 hearts, 0% crit chance - Fleet-Lotus Seeds
Additive None Lv. 0 (30 seconds), 0 hearts, 0% crit chance - Monster Extract
Additive None Lv. 0 (30 seconds), 0 hearts, 0% crit chance - Rock Salt
Food None Lv. 0 (30 seconds), 1 hearts, 0% crit chance - Apple
Food None Lv. 0 (30 seconds), 1 hearts, 0% crit chance - Hylian Shroom
Food None Lv. 0 (30 seconds), 1 hearts, 0% crit chance - Wildberry
Fairy None Lv. 0 (30 seconds), 10 hearts, 0% crit chance - Fairy
Food None Lv. 0 (30 seconds), 2 hearts, 0% crit chance - Hyrule Bass
Food None Lv. 0 (30 seconds), 2 hearts, 0% crit chance - Hyrule Herb
Food None Lv. 0 (30 seconds), 2 hearts, 0% crit chance - Palm Fruit
Food None Lv. 0 (30 seconds), 2 hearts, 0% crit chance - Raw Bird Drumstick
Food None Lv. 0 (30 seconds), 2 hearts, 0% crit chance - Raw Meat
Food None Lv. 0 (30 seconds), 2 hearts, 0% crit chance - Sanke Carp
Food None Lv. 0 (30 seconds), 3 hearts, 0% crit chance - Hard-Boiled Egg
Food None Lv. 0 (30 seconds), 3 hearts, 0% crit chance - Raw Bird Thigh
Food None Lv. 0 (30 seconds), 3 hearts, 0% crit chance - Raw Prime Meat
Food None Lv. 0 (30 seconds), 6 hearts, 0% crit chance - Raw Gourmet Meat
Food None Lv. 0 (30 seconds), 6 hearts, 0% crit chance - Raw Whole Bird
MonsterPart None Lv. 0 (40 seconds), 0 hearts, 0% crit chance - Ancient Screw
MonsterPart None Lv. 0 (40 seconds), 0 hearts, 0% crit chance - Ancient Spring
MonsterPart None Lv. 0 (40 seconds), 0 hearts, 0% crit chance - Bokoblin Horn
MonsterPart None Lv. 0 (40 seconds), 0 hearts, 0% crit chance - Chuchu Jelly
MonsterPart None Lv. 0 (40 seconds), 0 hearts, 0% crit chance - Hinox Toenail
MonsterPart None Lv. 0 (40 seconds), 0 hearts, 0% crit chance - Keese Wing
MonsterPart None Lv. 0 (40 seconds), 0 hearts, 0% crit chance - Lizalfos Horn
MonsterPart None Lv. 0 (40 seconds), 0 hearts, 0% crit chance - Lynel Horn
MonsterPart None Lv. 0 (40 seconds), 0 hearts, 0% crit chance - Moblin Horn
MonsterPart None Lv. 0 (40 seconds), 0 hearts, 0% crit chance - Octorok Tentacle
Food None Lv. 0 (40 seconds), 1 hearts, 0% crit chance - Chickaloo Tree Nut
Food None Lv. 0 (50 seconds), 1 hearts, 0% crit chance - Acorn
Additive None Lv. 0 (60 seconds), 0 hearts, 100% crit chance - Star Fragment
Additive None Lv. 0 (60 seconds), 1.25 hearts, 100% crit chance - Dinraal's Scale
Additive None Lv. 0 (60 seconds), 1.25 hearts, 100% crit chance - Farosh's Scale
Additive None Lv. 0 (60 seconds), 1.25 hearts, 100% crit chance - Naydra's Scale
Additive None Lv. 0 (60 seconds), 2 hearts, 0% crit chance - Hylian Rice
Additive None Lv. 0 (60 seconds), 2 hearts, 0% crit chance - Tabantha Wheat
MonsterPart None Lv. 0 (80 seconds), 0 hearts, 10% crit chance - Ancient Gear
MonsterPart None Lv. 0 (80 seconds), 0 hearts, 10% crit chance - Ancient Shaft
MonsterPart None Lv. 0 (80 seconds), 0 hearts, 10% crit chance - Bokoblin Fang
MonsterPart None Lv. 0 (80 seconds), 0 hearts, 10% crit chance - Electric Keese Wing
MonsterPart None Lv. 0 (80 seconds), 0 hearts, 10% crit chance - Fire Keese Wing
MonsterPart None Lv. 0 (80 seconds), 0 hearts, 10% crit chance - Goat Butter
MonsterPart None Lv. 0 (80 seconds), 0 hearts, 10% crit chance - Hinox Tooth
MonsterPart None Lv. 0 (80 seconds), 0 hearts, 10% crit chance - Ice Keese Wing
MonsterPart None Lv. 0 (80 seconds), 0 hearts, 10% crit chance - Lizalfos Talon
MonsterPart None Lv. 0 (80 seconds), 0 hearts, 10% crit chance - Lynel Hoof
MonsterPart None Lv. 0 (80 seconds), 0 hearts, 10% crit chance - Moblin Fang
MonsterPart None Lv. 0 (80 seconds), 0 hearts, 10% crit chance - Molduga Fin
MonsterPart None Lv. 0 (80 seconds), 0 hearts, 10% crit chance - Octorok Eyeball
MonsterPart None Lv. 0 (80 seconds), 0 hearts, 10% crit chance - Red Chuchu Jelly
MonsterPart None Lv. 0 (80 seconds), 0 hearts, 10% crit chance - White Chuchu Jelly
MonsterPart None Lv. 0 (80 seconds), 0 hearts, 10% crit chance - Yellow Chuchu Jelly
Additive None Lv. 0 (80 seconds), 0 hearts, 30% crit chance - Cane Sugar
